a_id,q_id,predict_label,truth_label,c_ref_1,c_ref_2,p_ref_1,p_ref_2,p_ref_3,i_ref_1,i_ref_2,max_sim,close_ref
R_ywhx9VDaHWzGaA1_q4_b,q4_b,1.0,0.0,0.6724864840507507,0.7836443185806274,0.7039799094200134,0.66312575340271,0.66312575340271,0.8218926191329956,0.8718802332878113,0.8718802332878113,i_ref_2
R_ywhx9VDaHWzGaA1_q4_a,q4_a,1.0,0.0,0.708673894405365,0.593511164188385,0.8403927087783813,0.6510098576545715,0.6510098576545715,0.7071024179458618,0.7071024179458618,0.8403927087783813,p_ref_1
R_ywhx9VDaHWzGaA1_q3_b,q3_b,1.0,0.0,0.7642749547958374,0.7256250977516174,0.6377740502357483,0.6671375632286072,0.6671375632286072,0.7376300096511841,0.8551712036132812,0.8551712036132812,i_ref_2
R_ywhx9VDaHWzGaA1_q3_a,q3_a,1.0,0.0,0.8437071442604065,0.9073045253753662,0.8616007566452026,0.8864633440971375,0.8864633440971375,0.7331709265708923,0.7331709265708923,0.9073045253753662,c_ref_2
R_ywhx9VDaHWzGaA1_q2_b,q2_b,1.0,1.0,0.760012686252594,0.8440006971359253,0.7696045637130737,0.808269739151001,0.808269739151001,0.7628514170646667,0.8239790201187134,0.8440006971359253,c_ref_2
R_ywhx9VDaHWzGaA1_q2_a,q2_a,1.0,1.0,0.8072348833084106,0.8028908371925354,0.8470160365104675,0.8500319123268127,0.8500319123268127,0.8896245360374451,0.89930260181427,0.89930260181427,i_ref_2
R_p0F9tEDSzE8p5Id_q4_a,q4_a,1.0,0.0,0.8886221647262573,0.7825308442115784,0.8543595671653748,0.8572750687599182,0.8572750687599182,0.8769181966781616,0.8769181966781616,0.8886221647262573,c_ref_1
R_p0F9tEDSzE8p5Id_q3_b,q3_b,1.0,0.0,0.6464904546737671,0.6086137890815735,0.5158876180648804,0.542289137840271,0.542289137840271,0.6705899834632874,0.834255039691925,0.834255039691925,i_ref_2
R_p0F9tEDSzE8p5Id_q3_a,q3_a,1.0,1.0,0.7979288697242737,0.8395795226097107,0.77474045753479,0.861556351184845,0.861556351184845,0.763293981552124,0.763293981552124,0.861556351184845,p_ref_2
R_2Bsdca66eX1sB7s_q4_b,q4_b,1.0,1.0,0.8968904614448547,0.8296617269515991,0.8993847966194153,0.8916511535644531,0.8916511535644531,0.8728356957435608,0.787783145904541,0.8993847966194153,p_ref_1
R_22VbknHbB1YFg9f_q3_b,q3_b,1.0,0.0,0.7370023131370544,0.726043164730072,0.7097062468528748,0.6617760062217712,0.6617760062217712,0.8515142798423767,0.736579179763794,0.8515142798423767,i_ref_1
R_22VbknHbB1YFg9f_q2_b,q2_b,1.0,1.0,0.820789098739624,0.8165483474731445,0.915422260761261,0.8737450242042542,0.8737450242042542,0.9126487970352173,0.9002134799957275,0.915422260761261,p_ref_1
R_22VbknHbB1YFg9f_q2_a,q2_a,1.0,0.0,0.8550609350204468,0.8497960567474365,0.8883391618728638,0.8919191956520081,0.8919191956520081,0.9101218581199646,0.8823750615119934,0.9101218581199646,i_ref_1
R_22Pq2yLMva5B2tB_q4_b,q4_b,1.0,1.0,0.9036161303520203,0.8197601437568665,0.9008498787879944,0.9034730792045593,0.9034730792045593,0.860471785068512,0.7560009360313416,0.9036161303520203,c_ref_1
R_22Pq2yLMva5B2tB_q4_a,q4_a,1.0,0.0,0.8961610794067383,0.9024321436882019,0.7704966068267822,0.9218655228614807,0.9218655228614807,0.9109154343605042,0.9109154343605042,0.9218655228614807,p_ref_2
R_2b1uYLiJtEkFfG2_q4_b,q4_b,1.0,0.0,0.8939172029495239,0.8154132962226868,0.8964940905570984,0.8833832740783691,0.8833832740783691,0.8705035448074341,0.7936456799507141,0.8964940905570984,p_ref_1
R_28LE4NyOf0wpTW8_q4_b,q4_b,1.0,0.0,0.8306961059570312,0.8480091094970703,0.812816321849823,0.8346207737922668,0.8346207737922668,0.8613650798797607,0.7328284382820129,0.8613650798797607,i_ref_1
R_28LE4NyOf0wpTW8_q3_a,q3_a,1.0,0.0,0.8436505198478699,0.9068896174430847,0.8861145377159119,0.850889265537262,0.850889265537262,0.687534749507904,0.687534749507904,0.9068896174430847,c_ref_2
R_28LE4NyOf0wpTW8_q2_b,q2_b,1.0,1.0,0.8945521116256714,0.8734931349754333,0.8339152932167053,0.884411633014679,0.884411633014679,0.7662703990936279,0.8251377940177917,0.8945521116256714,c_ref_1
R_27BtfyWgcvxUuIX_q3_b,q3_b,1.0,0.0,0.8517831563949585,0.8660678267478943,0.8829801082611084,0.8535532355308533,0.8535532355308533,0.801651120185852,0.6153716444969177,0.8829801082611084,p_ref_1
