q_id,q_acc,predict_label,predict_label_numbers,c_ref_1,c_ref_2,p_ref_1,p_ref_2,p_ref_3,i_ref_1,i_ref_2,closest_ref
q2_a,0.7857,0.0,52,0.0004,0.0004,0.714,0.7028,0.6286,0.7649,0.739,i_ref_1
q2_a,0.7857,1.0,33,0.0053,0.0053,0.989,0.9889,1.1445,0.9846,0.9874,p_ref_3
q2_a,0.7857,2.0,27,0.9482,0.9471,0.1103,0.1097,-0.6653,0.1075,0.1084,c_ref_1
q2_b,0.8318,0.0,26,0.0004,0.0004,0.6918,0.6934,0.854,0.6779,0.6857,p_ref_3
q2_b,0.8318,1.0,80,0.0,0.0,0.9953,0.9954,0.6313,0.9931,0.9946,p_ref_2
q2_b,0.8318,2.0,1,0.9797,0.9797,0.0434,0.0432,-0.0921,0.0495,0.0436,c_ref_1
q3_a,0.844,0.0,91,0.0038,0.0038,0.8345,0.9636,0.5482,0.4771,0.4771,p_ref_2
q3_a,0.844,2.0,18,0.8673,0.8672,0.3036,0.1986,0.3129,0.7235,0.7235,c_ref_1
q3_b,0.7921,0.0,74,0.006,0.006,0.9814,0.9797,1.2497,0.006,0.006,p_ref_3
q3_b,0.7921,1.0,1,0.0,0.0,0.7463,0.7534,0.9532,0.0,0.0,p_ref_3
q3_b,0.7921,2.0,26,0.9984,0.9984,0.0007,0.0008,-0.103,0.9984,0.9984,i_ref_1
q4_a,0.8947,0.0,43,0.0003,0.0003,0.6846,0.6654,0.3297,0.9146,0.9146,i_ref_1
q4_a,0.8947,1.0,59,0.0001,0.0001,0.9966,0.9981,0.7392,0.8988,0.8988,p_ref_2
q4_a,0.8947,2.0,12,0.977,0.9784,0.0671,0.0683,-0.3704,0.0573,0.0573,c_ref_1
q4_b,0.8636,0.0,53,0.0003,0.0003,0.6829,0.6783,0.1309,0.6744,0.8358,i_ref_2
q4_b,0.8636,1.0,52,0.0108,0.0108,0.9931,0.993,1.2607,0.9927,0.9587,p_ref_3
q4_b,0.8636,2.0,5,0.9952,0.9954,0.0018,0.0018,-0.346,0.0019,0.0016,c_ref_1
